@_type,@_unit,@_creationDate,@_startDate,@_endDate,@_value
HKQuantityTypeIdentifierFlightsClimbed,count,2021-03-03 22:57:25 +0300,2021-03-03 22:46:23 +0300,2021-03-03 22:46:38 +0300,2
HKQuantityTypeIdentifierFlightsClimbed,count,2021-03-04 22:38:58 +0300,2021-03-04 22:27:55 +0300,2021-03-04 22:27:58 +0300,1
HKQuantityTypeIdentifierFlightsClimbed,count,2021-03-05 18:35:52 +0300,2021-03-05 18:24:49 +0300,2021-03-05 18:24:52 +0300,1
HKQuantityTypeIdentifierFlightsClimbed,count,2021-03-07 15:55:52 +0300,2021-03-07 15:45:23 +0300,2021-03-07 15:45:26 +0300,1
HKQuantityTypeIdentifierFlightsClimbed,count,2021-03-10 20:03:29 +0300,2021-03-10 19:52:26 +0300,2021-03-10 19:52:29 +0300,1
HKQuantityTypeIdentifierFlightsClimbed,count,2021-03-11 18:29:59 +0300,2021-03-11 18:18:56 +0300,2021-03-11 18:19:07 +0300,2
HKQuantityTypeIdentifierFlightsClimbed,count,2021-03-11 20:30:34 +0300,2021-03-11 20:19:31 +0300,2021-03-11 20:19:44 +0300,2
HKQuantityTypeIdentifierFlightsClimbed,count,2021-03-12 18:21:00 +0300,2021-03-12 18:09:57 +0300,2021-03-12 18:10:00 +0300,1
HKQuantityTypeIdentifierFlightsClimbed,count,2021-03-13 08:57:32 +0300,2021-03-13 08:46:29 +0300,2021-03-13 08:46:32 +0300,1
HKQuantityTypeIdentifierFlightsClimbed,count,2021-03-13 09:55:00 +0300,2021-03-13 09:44:40 +0300,2021-03-13 09:44:43 +0300,1
HKQuantityTypeIdentifierFlightsClimbed,count,2021-03-13 10:01:57 +0300,2021-03-13 09:57:59 +0300,2021-03-13 09:58:01 +0300,1
HKQuantityTypeIdentifierFlightsClimbed,count,2021-03-13 10:01:57 +0300,2021-03-13 10:00:15 +0300,2021-03-13 10:00:17 +0300,1
HKQuantityTypeIdentifierFlightsClimbed,count,2021-03-13 19:01:46 +0300,2021-03-13 18:50:43 +0300,2021-03-13 18:50:45 +0300,1
HKQuantityTypeIdentifierFlightsClimbed,count,2021-03-15 17:52:24 +0300,2021-03-15 17:40:50 +0300,2021-03-15 17:40:53 +0300,1
HKQuantityTypeIdentifierFlightsClimbed,count,2021-03-15 18:32:59 +0300,2021-03-15 18:21:56 +0300,2021-03-15 18:21:58 +0300,1
HKQuantityTypeIdentifierFlightsClimbed,count,2021-03-16 18:38:03 +0300,2021-03-16 18:27:01 +0300,2021-03-16 18:27:03 +0300,1
HKQuantityTypeIdentifierFlightsClimbed,count,2021-03-17 13:38:40 +0300,2021-03-17 13:27:38 +0300,2021-03-17 13:27:53 +0300,2
HKQuantityTypeIdentifierFlightsClimbed,count,2021-03-19 13:02:12 +0300,2021-03-19 12:51:09 +0300,2021-03-19 13:00:03 +0300,3
HKQuantityTypeIdentifierFlightsClimbed,count,2021-03-22 00:33:16 +0300,2021-03-22 00:22:13 +0300,2021-03-22 00:22:15 +0300,1
